icd_code,icd_version,long_title
302,10,"Administration, Circulatory, Transfusion"
30230AZ,10,"Transfusion of Embryonic Stem Cells into Peripheral Vein, Open Approach"
30230C0,10,"Transfusion of Autologous Hematopoietic Stem/Progenitor Cells, Genetically Modified into Peripheral Vein, Open Approach"
30230G0,10,"Transfusion of Autologous Bone Marrow into Peripheral Vein, Open Approach"
30230G1,10,"Transfusion of Nonautologous Bone Marrow into Peripheral Vein, Open Approach"
30230G2,10,"Transfusion of Allogeneic Related Bone Marrow into Peripheral Vein, Open Approach"
30230G3,10,"Transfusion of Allogeneic Unrelated Bone Marrow into Peripheral Vein, Open Approach"
30230G4,10,"Transfusion of Allogeneic Unspecified Bone Marrow into Peripheral Vein, Open Approach"
30230H0,10,"Transfusion of Autologous Whole Blood into Peripheral Vein, Open Approach"
30230H1,10,"Transfusion of Nonautologous Whole Blood into Peripheral Vein, Open Approach"
30230J0,10,"Transfusion of Autologous Serum Albumin into Peripheral Vein, Open Approach"
30230J1,10,"Transfusion of Nonautologous Serum Albumin into Peripheral Vein, Open Approach"
30230K0,10,"Transfusion of Autologous Frozen Plasma into Peripheral Vein, Open Approach"
30230K1,10,"Transfusion of Nonautologous Frozen Plasma into Peripheral Vein, Open Approach"
30230L0,10,"Transfusion of Autologous Fresh Plasma into Peripheral Vein, Open Approach"
30230L1,10,"Transfusion of Nonautologous Fresh Plasma into Peripheral Vein, Open Approach"
30230M0,10,"Transfusion of Autologous Plasma Cryoprecipitate into Peripheral Vein, Open Approach"
30230M1,10,"Transfusion of Nonautologous Plasma Cryoprecipitate into Peripheral Vein, Open Approach"
30230N0,10,"Transfusion of Autologous Red Blood Cells into Peripheral Vein, Open Approach"
30230N1,10,"Transfusion of Nonautologous Red Blood Cells into Peripheral Vein, Open Approach"
30230P0,10,"Transfusion of Autologous Frozen Red Cells into Peripheral Vein, Open Approach"
30230P1,10,"Transfusion of Nonautologous Frozen Red Cells into Peripheral Vein, Open Approach"
30230Q0,10,"Transfusion of Autologous White Cells into Peripheral Vein, Open Approach"
30230Q1,10,"Transfusion of Nonautologous White Cells into Peripheral Vein, Open Approach"
30230R0,10,"Transfusion of Autologous Platelets into Peripheral Vein, Open Approach"
30230R1,10,"Transfusion of Nonautologous Platelets into Peripheral Vein, Open Approach"
30230S0,10,"Transfusion of Autologous Globulin into Peripheral Vein, Open Approach"
30230S1,10,"Transfusion of Nonautologous Globulin into Peripheral Vein, Open Approach"
30230T0,10,"Transfusion of Autologous Fibrinogen into Peripheral Vein, Open Approach"
30230T1,10,"Transfusion of Nonautologous Fibrinogen into Peripheral Vein, Open Approach"
30230U2,10,"Transfusion of Allogeneic Related T-cell Depleted Hematopoietic Stem Cells into Peripheral Vein, Open Approach"
30230U3,10,"Transfusion of Allogeneic Unrelated T-cell Depleted Hematopoietic Stem Cells into Peripheral Vein, Open Approach"
30230U4,10,"Transfusion of Allogeneic Unspecified T-cell Depleted Hematopoietic Stem Cells into Peripheral Vein, Open Approach"
30230V0,10,"Transfusion of Autologous Antihemophilic Factors into Peripheral Vein, Open Approach"
30230V1,10,"Transfusion of Nonautologous Antihemophilic Factors into Peripheral Vein, Open Approach"
30230W0,10,"Transfusion of Autologous Factor IX into Peripheral Vein, Open Approach"
30230W1,10,"Transfusion of Nonautologous Factor IX into Peripheral Vein, Open Approach"
30230X0,10,"Transfusion of Autologous Cord Blood Stem Cells into Peripheral Vein, Open Approach"
30230X1,10,"Transfusion of Nonautologous Cord Blood Stem Cells into Peripheral Vein, Open Approach"
30230X2,10,"Transfusion of Allogeneic Related Cord Blood Stem Cells into Peripheral Vein, Open Approach"
30230X3,10,"Transfusion of Allogeneic Unrelated Cord Blood Stem Cells into Peripheral Vein, Open Approach"
30230X4,10,"Transfusion of Allogeneic Unspecified Cord Blood Stem Cells into Peripheral Vein, Open Approach"
30230Y0,10,"Transfusion of Autologous Hematopoietic Stem Cells into Peripheral Vein, Open Approach"
30230Y1,10,"Transfusion of Nonautologous Hematopoietic Stem Cells into Peripheral Vein, Open Approach"
30230Y2,10,"Transfusion of Allogeneic Related Hematopoietic Stem Cells into Peripheral Vein, Open Approach"
30230Y3,10,"Transfusion of Allogeneic Unrelated Hematopoietic Stem Cells into Peripheral Vein, Open Approach"
30230Y4,10,"Transfusion of Allogeneic Unspecified Hematopoietic Stem Cells into Peripheral Vein, Open Approach"
30233AZ,10,"Transfusion of Embryonic Stem Cells into Peripheral Vein, Percutaneous Approach"
30233C0,10,"Transfusion of Autologous Hematopoietic Stem/Progenitor Cells, Genetically Modified into Peripheral Vein, Percutaneous Approach"
30233D1,10,"Transfusion of Nonautologous Pathogen Reduced Cryoprecipitated Fibrinogen Complex into Peripheral Vein, Percutaneous Approach"
30233G0,10,"Transfusion of Autologous Bone Marrow into Peripheral Vein, Percutaneous Approach"
30233G1,10,"Transfusion of Nonautologous Bone Marrow into Peripheral Vein, Percutaneous Approach"
30233G2,10,"Transfusion of Allogeneic Related Bone Marrow into Peripheral Vein, Percutaneous Approach"
30233G3,10,"Transfusion of Allogeneic Unrelated Bone Marrow into Peripheral Vein, Percutaneous Approach"
30233G4,10,"Transfusion of Allogeneic Unspecified Bone Marrow into Peripheral Vein, Percutaneous Approach"
30233H0,10,"Transfusion of Autologous Whole Blood into Peripheral Vein, Percutaneous Approach"
30233H1,10,"Transfusion of Nonautologous Whole Blood into Peripheral Vein, Percutaneous Approach"
30233J0,10,"Transfusion of Autologous Serum Albumin into Peripheral Vein, Percutaneous Approach"
30233J1,10,"Transfusion of Nonautologous Serum Albumin into Peripheral Vein, Percutaneous Approach"
